name,parent,swap
r_thumb4,r_thumb3,
r_thumb3,r_thumb2,
r_thumb2,r_thumb1,
r_thumb1,r_wrist,
r_index4,r_index3,
r_index3,r_index2,
r_index2,r_index1,
r_index1,r_wrist,
r_middle4,r_middle3,
r_middle3,r_middle2,
r_middle2,r_middle1,
r_middle1,r_wrist,
r_ring4,r_ring3,
r_ring3,r_ring2,
r_ring2,r_ring1,
r_ring1,r_wrist,
r_pinky4,r_pinky3,
r_pinky3,r_pinky2,
r_pinky2,r_pinky1,
r_pinky1,r_wrist,
r_wrist,,
